date,total_views,unique_views
2022-08-14,3,2
2022-08-15,0,0
2022-08-16,4,1
2022-08-17,0,0
2022-08-18,6,1
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,1,1
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,1,1
2022-08-25,19,3
2022-08-26,0,0
2022-08-27,3,1
2022-08-28,0,0
2022-08-29,15,1
2022-08-30,4,1
2022-08-31,11,2
2022-09-01,17,4
2022-09-02,1,1
2022-09-03,1,1
2022-09-04,0,0
2022-09-05,29,2
2022-09-06,25,4
2022-09-07,76,10
2022-09-08,94,13
2022-09-09,55,5
2022-09-10,10,1
2022-09-11,5,2
2022-09-12,2,2
2022-09-13,0,0
2022-09-14,0,0
2022-09-15,3,3
2022-09-16,2,2
2022-09-17,4,1
